id,parent_id,id_preview_attachment,partname_hint,partname_regex,disable_footprints,disable_manufacturers,disable_autodatasheets,disable_properties,default_description,default_comment,comment,not_selectable,name,last_modified,datetime_added,alternative_names,eda_info_reference_prefix,eda_info_invisible,eda_info_exclude_from_bom,eda_info_exclude_from_board,eda_info_exclude_from_sim,eda_info_kicad_symbol
1,,,"","",0,0,0,0,"","","",0,Chainlink,"2024-10-29 00:40:28","2024-10-29 00:40:28","",,,,,1,
2,1,,"","",0,0,0,0,"","","",0,"Residential Chainlink","2024-10-29 00:40:28","2024-10-29 00:40:28","",,,,,1,
3,1,,"","",0,0,0,0,"","","",0,"Commercial Chainlink","2024-10-29 00:40:28","2024-10-29 00:40:28","",,,,,1,
4,1,,"","",0,0,0,0,"","","",0,"Industrial Chainlink","2024-10-29 00:40:28","2024-10-29 00:40:28","",,,,,1,
5,2,,"","",0,0,0,0,"","","",0,Galvanized,"2024-10-29 00:40:58","2024-10-29 00:40:58","",,,,,1,
6,2,,"","",0,0,0,0,"","","",0,"Vinyl Coated","2024-10-29 00:40:58","2024-10-29 00:40:58","",,,,,1,
7,3,,"","",0,0,0,0,"","","",0,"Vinyl Coated","2024-10-29 00:41:59","2024-10-29 00:41:59","",,,,,1,
8,3,,"","",0,0,0,0,"","","",0,Galvanized,"2024-10-29 00:41:59","2024-10-29 00:41:59","",,,,,1,
9,4,,"","",0,0,0,0,"","","",0,"Vinyl Coated","2024-10-29 00:42:04","2024-10-29 00:42:04","",,,,,1,
10,4,,"","",0,0,0,0,"","","",0,Galvanized,"2024-10-29 00:42:04","2024-10-29 00:42:04","",,,,,1,
11,,,"","",0,0,0,0,"","","",0,Aluminum,"2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
12,11,,"","",0,0,0,0,"","","",0,"3-Rail Aluminum","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
13,12,,"","",0,0,0,0,"","","",0,Residential,"2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
14,13,,"","",0,0,0,0,"","","",0,"4FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
15,13,,"","",0,0,0,0,"","","",0,"54"" H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
16,13,,"","",0,0,0,0,"","","",0,"5FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
17,13,,"","",0,0,0,0,"","","",0,"6FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
18,12,,"","",0,0,0,0,"","","",0,Commercial,"2024-10-29 01:37:06","2024-10-29 01:31:09",,,,,,1,
19,18,,"","",0,0,0,0,"","","",0,"4FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
20,18,,"","",0,0,0,0,"","","",0,"54"" H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
21,18,,"","",0,0,0,0,"","","",0,"5FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
22,18,,"","",0,0,0,0,"","","",0,"6FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
23,12,,"","",0,0,0,0,"","","",0,Industrial,"2024-10-29 01:37:21","2024-10-29 01:31:09",,,,,,1,
24,23,,"","",0,0,0,0,"","","",0,"4FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
25,23,,"","",0,0,0,0,"","","",0,"54"" H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
26,23,,"","",0,0,0,0,"","","",0,"5FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
27,23,,"","",0,0,0,0,"","","",0,"6FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
28,11,,"","",0,0,0,0,"","","",0,"2-Rail Aluminum","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
29,28,,"","",0,0,0,0,"","","",0,Residential,"2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
30,29,,"","",0,0,0,0,"","","",0,"4FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
31,29,,"","",0,0,0,0,"","","",0,"54"" H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
32,29,,"","",0,0,0,0,"","","",0,"5FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
33,29,,"","",0,0,0,0,"","","",0,"6FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
34,28,,"","",0,0,0,0,"","","",0,Commercial,"2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
35,34,,"","",0,0,0,0,"","","",0,"4FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
36,34,,"","",0,0,0,0,"","","",0,"54"" H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
37,34,,"","",0,0,0,0,"","","",0,"5FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
38,34,,"","",0,0,0,0,"","","",0,"6FT H","2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
39,28,,"","",0,0,0,0,"","","",0,Industrial,"2024-10-29 01:31:09","2024-10-29 01:31:09","",,,,,1,
